iter	Passed	Remaining
414	3086	4336
415	3092	4327
416	3099	4318
417	3113	4320
418	3120	4312
419	3128	4304
420	3134	4296
421	3141	4287
422	3147	4278
423	3154	4270
424	3161	4262
425	3169	4255
426	3175	4246
427	3182	4237
428	3188	4228
429	3194	4220
430	3201	4212
431	3208	4204
432	3215	4195
433	3222	4187
434	3228	4178
435	3234	4169
436	3241	4160
437	3248	4153
438	3255	4145
439	3262	4137
440	3269	4129
441	3276	4121
442	3283	4113
443	3290	4105
444	3297	4097
445	3304	4089
446	3311	4081
447	3318	4073
448	3324	4065
449	3332	4058
450	3339	4050
451	3345	4041
452	3352	4033
453	3358	4024
454	3365	4016
455	3373	4009
456	3380	4001
457	3387	3994
458	3394	3986
459	3402	3979
460	3409	3971
461	3416	3963
462	3423	3955
463	3431	3948
464	3438	3941
465	3445	3933
466	3451	3924
467	3458	3917
468	3465	3909
469	3472	3900
470	3479	3893
471	3487	3886
472	3494	3879
473	3502	3871
474	3508	3863
475	3515	3855
476	3522	3847
477	3529	3839
478	3536	3831
479	3541	3821
480	3548	3814
481	3555	3806
482	3563	3799
483	3569	3790
484	3576	3782
485	3583	3775
486	3590	3767
487	3598	3760
488	3605	3752
489	3612	3744
490	3618	3736
491	3625	3728
492	3631	3719
493	3638	3712
494	3646	3705
495	3655	3699
496	3663	3693
497	3672	3687
498	3679	3679
499	3687	3672
500	3695	3666
501	3703	3659
502	3710	3651
503	3717	3644
504	3725	3637
505	3734	3631
506	3742	3623
507	3749	3616
508	3756	3609
509	3763	3601
510	3770	3593
511	3777	3586
512	3785	3578
513	3792	3571
514	3800	3564
515	3806	3555
516	3811	3546
517	3818	3538
518	3825	3530
519	3833	3524
520	3840	3516
521	3847	3508
522	3854	3501
523	3862	3493
524	3869	3486
525	3876	3478
526	3884	3471
527	3892	3464
528	3900	3457
529	3907	3450
530	3914	3442
531	3923	3436
532	3931	3430
533	3939	3422
534	3945	3414
535	3951	3406
536	3959	3398
537	3966	3391
538	3973	3383
539	3980	3376
540	3988	3369
541	3996	3362
542	4003	3354
543	4009	3346
544	4016	3338
545	4024	3331
546	4030	3323
547	4037	3315
548	4045	3308
549	4051	3299
550	4057	3292
551	4065	3285
552	4074	3278
553	4082	3271
554	4090	3265
555	4097	3257
556	4104	3249
557	4112	3242
558	4119	3235
559	4126	3227
560	4134	3220
561	4140	3212
562	4147	3204
563	4154	3197
564	4161	3188
565	4168	3181
566	4175	3174
567	4184	3167
568	4192	3160
569	4200	3154
570	4208	3146
571	4215	3139
572	4222	3132
573	4232	3126
574	4241	3120
575	4249	3113
576	4257	3106
577	4265	3099
578	4273	3092
579	4280	3084
580	4288	3078
581	4296	3070
582	4303	3063
583	4312	3056
584	4320	3050
585	4327	3042
586	4336	3036
587	4343	3028
588	4351	3021
589	4362	3016
590	4370	3009
591	4377	3002
592	4386	2995
593	4393	2988
594	4401	2981
595	4408	2973
596	4416	2966
597	4424	2959
598	4432	2952
599	4443	2947
600	4451	2940
601	4459	2933
602	4467	2926
603	4475	2919
604	4483	2912
605	4492	2905
606	4499	2898
607	4507	2891
608	4515	2884
609	4524	2877
610	4532	2870
611	4541	2864
612	4548	2856
613	4556	2849
614	4564	2842
615	4571	2835
616	4581	2828
617	4589	2822
618	4598	2815
619	4606	2808
620	4613	2800
621	4621	2793
622	4629	2786
623	4637	2779
624	4645	2772
625	4652	2765
626	4659	2756
627	4666	2749
628	4674	2742
629	4683	2735
630	4690	2728
631	4699	2721
632	4707	2714
633	4715	2707
634	4722	2699
635	4730	2692
636	4739	2685
637	4746	2678
638	4754	2671
639	4763	2664
640	4771	2657
641	4778	2650
642	4786	2642
643	4794	2635
644	4802	2628
645	4809	2620
646	4817	2613
647	4824	2605
648	4832	2598
649	4841	2591
650	4849	2585
651	4857	2577
652	4865	2570
653	4873	2563
654	4882	2556
655	4890	2549
656	4898	2542
657	4905	2534
658	4914	2528
659	4922	2520
660	4930	2513
661	4938	2506
662	4946	2499
663	4954	2491
664	4962	2484
665	4968	2476
666	4976	2469
667	4985	2462
668	5001	2459
669	5007	2451
670	5015	2443
671	5021	2435
672	5029	2428
673	5035	2420
674	5042	2413
675	5058	2409
676	5065	2402
677	5073	2394
678	5081	2387
679	5088	2379
680	5096	2372
681	5103	2364
682	5111	2357
683	5119	2350
684	5125	2342
685	5133	2334
686	5140	2327
687	5149	2320
688	5156	2312
689	5164	2305
690	5171	2297
691	5178	2290
692	5185	2282
693	5193	2274
694	5200	2267
695	5206	2259
696	5214	2251
697	5222	2244
698	5229	2236
699	5237	2229
700	5246	2222
701	5253	2214
702	5261	2207
703	5269	2200
704	5277	2193
705	5284	2185
706	5292	2178
707	5300	2171
708	5308	2164
709	5316	2156
710	5324	2149
711	5331	2141
712	5339	2134
713	5347	2127
714	5355	2119
715	5363	2112
716	5370	2104
717	5378	2097
718	5386	2090
719	5393	2082
720	5401	2075
721	5409	2067
722	5417	2060
723	5425	2053
724	5432	2045
725	5439	2037
726	5446	2030
727	5454	2022
728	5461	2015
729	5468	2007
730	5478	2001
731	5485	1993
732	5493	1985
733	5500	1978
734	5508	1971
735	5516	1963
736	5524	1956
737	5531	1948
738	5539	1941
739	5546	1933
740	5554	1926
741	5562	1919
742	5570	1911
743	5578	1904
744	5586	1897
745	5594	1889
746	5602	1882
747	5610	1875
748	5618	1867
749	5626	1860
750	5633	1852
751	5642	1845
752	5649	1837
753	5656	1830
754	5664	1823
755	5670	1815
756	5678	1807
757	5686	1800
758	5693	1792
759	5699	1784
760	5706	1777
761	5714	1769
762	5721	1762
763	5728	1754
764	5735	1746
765	5743	1739
766	5751	1732
767	5758	1724
768	5764	1716
769	5771	1709
770	5779	1701
771	5786	1693
772	5793	1686
773	5799	1678
774	5807	1670
775	5814	1663
776	5821	1655
777	5829	1648
778	5837	1641
779	5845	1633
780	5852	1626
781	5859	1618
782	5866	1610
783	5874	1603
784	5881	1595
785	5888	1588
786	5896	1580
787	5903	1573
788	5911	1566
789	5919	1558
790	5926	1550
791	5934	1543
792	5942	1536
793	5950	1528
794	5958	1521
795	5965	1513
796	5973	1506
797	5980	1498
798	5987	1491
799	5994	1483
800	6002	1476
801	6010	1468
802	6017	1461
803	6024	1453
804	6032	1446
805	6039	1438
806	6046	1431
807	6053	1423
808	6060	1415
809	6068	1408
810	6075	1400
811	6082	1393
812	6089	1385
813	6097	1378
814	6104	1370
815	6111	1363
816	6118	1355
817	6125	1347
818	6133	1340
819	6141	1333
820	6149	1325
821	6156	1318
822	6162	1310
823	6169	1302
824	6176	1295
825	6182	1287
826	6190	1279
827	6196	1272
828	6204	1264
829	6211	1257
830	6217	1249
831	6224	1241
832	6232	1234
833	6239	1227
834	6247	1219
835	6255	1212
836	6262	1204
837	6270	1197
838	6279	1189
839	6286	1182
840	6293	1174
841	6300	1167
842	6308	1159
843	6315	1152
844	6322	1144
845	6331	1137
846	6339	1130
847	6348	1122
848	6357	1115
849	6366	1108
850	6374	1101
851	6381	1093
852	6390	1086
853	6398	1078
854	6404	1071
855	6411	1063
856	6421	1056
857	6431	1049
858	6438	1041
859	6446	1034
860	6453	1026
861	6461	1019
862	6469	1012
