iter	Logloss
363	0.3457406324
364	0.3454903802
365	0.3450523423
366	0.3447160294
367	0.3445353377
368	0.3440968214
369	0.3435589884
370	0.3430883375
371	0.3428235051
372	0.3425798988
373	0.3422602828
374	0.3418801393
375	0.341671955
376	0.3411754208
377	0.3408736397
378	0.3404042932
379	0.3401709336
380	0.3396844732
381	0.3395429363
382	0.3391573121
383	0.3387910325
384	0.3383918275
385	0.338064853
386	0.3376549382
387	0.3373067796
388	0.3369883345
389	0.336639533
390	0.3363135295
391	0.3360097858
392	0.3357467369
393	0.3353603836
394	0.3351642739
395	0.3348384872
396	0.3345560633
397	0.3342460272
398	0.3338733907
399	0.3336255778
400	0.3332857563
401	0.33287619
402	0.3325252013
403	0.3323464948
404	0.3320874308
405	0.3317085014
406	0.3313686579
407	0.3311337929
408	0.3308157256
409	0.330516252
410	0.3302922876
411	0.3299548295
412	0.3295827435
413	0.3293578001
414	0.3289723699
415	0.3287522988
416	0.3284368465
417	0.3279893125
418	0.3277619953
419	0.3274628571
420	0.3271061981
421	0.3267963569
422	0.3264458264
423	0.3261203573
424	0.3258085523
425	0.3254702357
426	0.3252396456
427	0.3249669903
428	0.324619954
429	0.3244378682
430	0.3240188616
431	0.3236450343
432	0.323368197
433	0.3230448638
434	0.3228744785
435	0.3224889547
436	0.3221481483
437	0.3217607327
438	0.3214614096
439	0.321086523
440	0.3207330417
441	0.320455017
442	0.3202274123
443	0.3200051478
444	0.3196597056
445	0.3192869678
446	0.3189267077
447	0.3187114882
448	0.3184605802
449	0.3182101308
450	0.3178854888
451	0.3176466273
452	0.3172643007
453	0.3168955346
454	0.3166344193
455	0.3164253685
456	0.3161636818
457	0.3158746254
458	0.3153770847
459	0.3151564356
460	0.3149776669
461	0.3147970708
462	0.3144841293
463	0.314227625
464	0.3140030817
465	0.3137736506
466	0.3135907569
467	0.3132445558
468	0.3129377279
469	0.3126095117
470	0.3124287374
471	0.3121416453
472	0.3117989788
473	0.3114192996
474	0.3111637523
475	0.3107307214
476	0.3105309694
477	0.3102191414
478	0.3099383571
479	0.3095434709
480	0.3091646867
481	0.3089630572
482	0.3086893983
483	0.3083865929
484	0.3080971528
485	0.3077941148
486	0.3075504924
487	0.3071196943
488	0.3068794844
489	0.3065704295
490	0.3062460787
491	0.3060083476
492	0.3057293797
493	0.3053463536
494	0.3050704368
495	0.3047876355
496	0.30451904
497	0.304179575
498	0.3038085357
499	0.303550817
500	0.3033244318
501	0.3030441591
502	0.302738187
503	0.3024674426
504	0.302191515
505	0.3019859673
506	0.3017334161
507	0.3015386006
508	0.301299239
509	0.3011062476
510	0.3007757511
511	0.3003980681
512	0.3001767464
513	0.2999587082
514	0.2996208653
515	0.2992862338
516	0.2989590122
517	0.2986696353
518	0.2984358229
519	0.298104124
520	0.2978113918
521	0.2976441602
522	0.297324086
523	0.2970953709
524	0.2968439008
525	0.29637883
526	0.2960345635
527	0.2957611896
528	0.2954255076
529	0.2952104482
530	0.2948550318
531	0.294534753
532	0.2942909699
533	0.2940201718
534	0.293645805
535	0.2933019109
536	0.2929748202
537	0.2926274895
538	0.292337688
539	0.2920694324
540	0.2918034606
541	0.2915053877
542	0.2912790322
543	0.2909394846
544	0.2906653675
545	0.2903847874
546	0.2901536058
547	0.289931685
548	0.2896833512
549	0.2893996563
550	0.2891682474
551	0.2889041991
552	0.2886729127
553	0.2884580694
554	0.2882198081
555	0.2878423841
556	0.2876407506
557	0.287365918
558	0.2871579575
559	0.2868799423
560	0.2866160331
561	0.2862477392
562	0.2860899109
563	0.2857784218
564	0.285314477
565	0.2851867505
566	0.2849057577
567	0.2846907454
568	0.2845111537
569	0.2843072766
570	0.2841580218
571	0.283914518
572	0.2837543494
573	0.2834166378
574	0.2830997648
575	0.2828322665
576	0.2826250993
577	0.2824135109
578	0.2821661574
579	0.2818510307
580	0.2816540534
581	0.2812741695
582	0.2810117001
583	0.2806845452
584	0.2803617451
585	0.2801552633
586	0.2798336261
587	0.2795715754
588	0.279248295
589	0.2789703937
590	0.2787574223
591	0.2785403772
592	0.2782769195
593	0.2780989245
594	0.2778586161
595	0.2775504994
596	0.2773634089
597	0.2770661969
598	0.2768927754
599	0.276573512
600	0.2763343676
601	0.2759504843
602	0.2756909944
603	0.2753603748
604	0.2751029975
605	0.2748237596
606	0.2745688493
607	0.2742841956
608	0.2741108538
609	0.2738234952
610	0.273619545
611	0.2733822813
612	0.2730591103
613	0.2727834209
614	0.2724683848
615	0.2722296715
616	0.2720336549
617	0.2718264233
618	0.2715105072
619	0.2712771752
620	0.2710720937
621	0.2708737736
622	0.2706260822
623	0.2704246899
624	0.2702554264
625	0.2700150758
626	0.2696964087
627	0.2695394314
628	0.2693107724
629	0.2690594378
630	0.2688459589
631	0.2687163646
632	0.2685910934
633	0.268347734
634	0.2681128523
635	0.2678689958
636	0.2676529997
637	0.2674887792
638	0.2671480964
639	0.2668985516
640	0.2666743548
641	0.2664766567
642	0.2662271225
643	0.2659440124
644	0.2657301254
645	0.2655463677
646	0.2653734235
647	0.2651222749
648	0.2648934178
649	0.2646154176
650	0.2644221918
651	0.2641887039
652	0.2639501961
653	0.2636884763
654	0.2633266832
655	0.2631727172
656	0.2629118946
657	0.2626209422
658	0.2623865397
659	0.2621430357
660	0.2619777739
661	0.2617921287
662	0.2615307256
663	0.2612873886
664	0.261109922
665	0.2607988187
666	0.2605792392
667	0.2603509434
668	0.2601311298
669	0.2598135755
670	0.2596359245
671	0.2593206449
672	0.2591443402
673	0.2588927582
674	0.2586105791
675	0.2584032659
676	0.2581774249
677	0.2579239493
678	0.2576534174
679	0.2573505669
680	0.2570409202
681	0.2567965119
682	0.2565911238
683	0.2562825776
684	0.2560085779
685	0.2558369716
686	0.2556106845
687	0.25538264
688	0.2552325027
689	0.2550706228
690	0.2548372094
691	0.2546217337
692	0.2544543298
693	0.2541809819
694	0.2539172322
695	0.253611269
696	0.253496867
697	0.2532208241
698	0.2529719202
699	0.2527856806
700	0.2525145828
701	0.2522269895
702	0.2519469973
703	0.2517910749
704	0.2515906273
705	0.2514290744
706	0.2512831975
707	0.2510941901
708	0.2508440327
709	0.2506212156
710	0.2504890097
711	0.2503444458
712	0.2501790066
713	0.249853646
714	0.249682748
715	0.2494924234
716	0.249282435
717	0.2490994649
718	0.2489159588
719	0.2486700262
720	0.248475583
721	0.2482389059
722	0.2479782235
723	0.2477535539
724	0.2476111546
725	0.2473806382
726	0.2471222056
727	0.2469991209
728	0.2467010997
729	0.2465176011
730	0.2462835596
731	0.2461086433
732	0.2459361084
733	0.2457229602
734	0.2454536672
735	0.2452220593
736	0.2450028899
737	0.2448046348
738	0.2445878291
739	0.2443245933
740	0.2440643244
741	0.2437794146
742	0.2435429619
743	0.2432834063
744	0.2431060986
745	0.2429030858
746	0.2426250124
747	0.2424064467
748	0.2421644114
749	0.2419205243
750	0.2416381066
751	0.2415004832
752	0.2412427559
753	0.2410262829
754	0.2407827772
755	0.2405466939
756	0.2402913832
757	0.2401193872
758	0.2399670939
759	0.2397972599
760	0.239513163
761	0.2392953405
762	0.2390893768
763	0.238940137
764	0.2387443491
765	0.238537383
766	0.2383118374
767	0.2379904513
768	0.2377299433
769	0.2375098353
770	0.2372600346
771	0.2370042489
772	0.2367060336
773	0.2364881037
774	0.2362816183
775	0.2359643436
776	0.2356870899
777	0.235467418
778	0.2353310326
779	0.2350027024
780	0.234814732
781	0.2345568867
782	0.2344160761
783	0.2342725951
784	0.2340592673
785	0.2338292518
786	0.2335896912
787	0.2332714404
788	0.2330624569
789	0.2329203373
790	0.2327088369
791	0.2324507427
792	0.2322056876
793	0.2319932958
794	0.2317158712
795	0.2315737464
796	0.2313128423
797	0.2311048093
798	0.2308921961
799	0.2306826091
800	0.2304775881
801	0.2302355904
802	0.2300987401
803	0.2299990109
804	0.2298578638
805	0.2296398847
806	0.2294619051
807	0.2291847147
808	0.229019932
809	0.2288369379
810	0.2286025615
811	0.2283869187
812	0.2281847644
813	0.2279266013
814	0.2276765232
815	0.2274277562
816	0.2271121539
817	0.2269076536
818	0.2267606353
819	0.2265884071
820	0.2263841376
821	0.2262095555
822	0.2259594817
823	0.2256576988
824	0.2254913142
825	0.2252647589
826	0.225048585
827	0.2247522482
828	0.2245455758
829	0.2243330281
830	0.2240695077
831	0.2239102652
832	0.2237325912
833	0.2235146161
834	0.2233812343
835	0.2231660287
836	0.2229923383
837	0.2227734247
838	0.2225764462
839	0.2224436691
840	0.2222393483
841	0.2221407788
842	0.2220396134
843	0.2218279461
844	0.2215898211
845	0.2213638502
846	0.2211967437
847	0.2210129097
848	0.2208751227
849	0.2206775011
850	0.2203680985
851	0.2201850888
852	0.2200626473
853	0.2199098107
854	0.2196821859
855	0.2195506434
856	0.2193123618
857	0.2190282325
858	0.2188412458
859	0.2186192039
860	0.2183094688
861	0.2181100035
862	0.2179306264
863	0.2177422387
864	0.2174646508
865	0.2171895798
866	0.2169717727
867	0.2167939437
868	0.2165752778
869	0.2163595744
870	0.2161848726
871	0.2160186032
872	0.2158769203
873	0.2156509275
874	0.2154417462
875	0.2152709987
876	0.2150750389
877	0.2148616552
878	0.2146193916
879	0.2144779522
880	0.2143626823
881	0.2141720157
882	0.2139786711
883	0.2138090121
884	0.2136390418
885	0.2134228813
886	0.2131768158
887	0.2129464388
888	0.2126143885
889	0.2124830902
890	0.2122796661
891	0.2120048297
892	0.2118881491
893	0.2116576522
894	0.2114677051
895	0.2112042742
896	0.2110288728
897	0.2108703487
898	0.2106619975
899	0.2103460582
900	0.2102269122
901	0.2100054539
902	0.2098341117
903	0.2096727807
904	0.2093925694
905	0.2092132321
906	0.2089838215
907	0.2088291673
908	0.2086287347
909	0.2084497333
910	0.2082423967
911	0.208081553
912	0.2078884054
913	0.2077103459
914	0.207582201
915	0.20738189
916	0.207244461
917	0.2070011516
918	0.2068382184
919	0.2066466396
920	0.2064382347
921	0.2062691058
922	0.2060679722
923	0.2058767046
924	0.2056143313
925	0.2053661041
926	0.2051500418
927	0.2049890317
928	0.2047610858
929	0.2044951732
930	0.2042906472
931	0.2040526942
932	0.2039061568
933	0.2036986871
934	0.203513814
935	0.2032871875
936	0.2031694243
937	0.2029477452
938	0.202785186
939	0.2025587728
940	0.2023598253
941	0.2021642812
942	0.2019842856
943	0.2018068591
944	0.2016391147
945	0.201444505
946	0.2013130183
947	0.2011585669
948	0.2009985514
949	0.2007519777
950	0.2005462867
951	0.2003618324
952	0.200179111
953	0.2000132661
954	0.1998307181
955	0.199642795
956	0.1995047881
957	0.1993791255
958	0.1991470952
959	0.1990568205
960	0.1989514356
961	0.1987595475
962	0.1985835937
963	0.1984220786
964	0.1981511507
965	0.1980397226
966	0.1978385456
967	0.197633348
968	0.1975016616
969	0.1973287826
970	0.1972187429
971	0.1970353113
972	0.1968000127
973	0.1967116645
974	0.1964011928
975	0.1961007618
976	0.19590675
977	0.1957387953
978	0.1955661364
979	0.195402663
980	0.19523152
981	0.1950448246
982	0.1948804044
983	0.1947554209
984	0.1945941739
985	0.1943922946
986	0.1942234253
987	0.194048703
988	0.1938896712
989	0.1937152913
990	0.1934655993
991	0.1933779765
992	0.1931517055
993	0.193006516
994	0.1928631284
995	0.1927510277
996	0.1925315129
997	0.1923333105
